Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"06/01/2015","9 BALLYRAINE PARK, LETTERKENNY, DONEGAL","","Donegal","€93,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","9 BROOKVILLE AVE, CLAREVIEW, LIMERICK","","Limerick","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","9 MONTEVERDI GREEN, FARMLEIGH, DUNMORE RD","","Waterford","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","93 Alderwood, Carrickmacross, Co Monaghan","","Monaghan","€140,969.16","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","94 DROIM LIATH COLLINS LANE, TULLAMORE, OFFALY","","Offaly","€131,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","ACORN VILLAS, MILL RD, KILLARNEY","","Kerry","€370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","Apartment 12, South Channel Court, 26/28 South Terrace","","Cork","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","APARTMENT 13 MOUNTGORRY WOOD, MALAHIDE ROAD, SWORDS","","Dublin","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","Apartment 15, South Channel Court, 26/28 South Terrace","","Cork","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","APT. 2 - BLOCK 5, WOODFORD MEADOWS, BALLYCONNELL","","Cavan","€27,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","BALLINELLARD, BLACKWATER, WEXFORD","","Wexford","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","Ballybrehoney, Claremorris","","Mayo","€15,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","BEUMONT, CARRICK RD, CONABURY","","Monaghan","€50,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","BRACKLUIN, CASTLETOWNBERE, COUNTY CORK","","Cork","€132,250.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","CARNAMADDY, CREESLOUGH, CO DONEGAL","","Donegal","€37,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","CARROWMORE, GLENTOGHER, CARNDONAGH","","Donegal","€25,627.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","CASTLEKEELY, CARAGH NAAS, KILDARE","","Kildare","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","CLOONLEE, BALLINLOUGH, CASTLEREA","","Roscommon","€66,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","Cosy Cottage, Clogga, Arklow","","Wicklow","€87,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","CULLEENMORE, GRANARD, LONGFORD","","Longford","€77,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","CUSHINA LODGE, CUSHINA, PORTARLINGTON","","Offaly","€137,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","DOORTHY, ROSCOMMON, ROSCOMMON","","Roscommon","€30,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","DUINCH, HOLLYSTOWN, DUBLIN 15","Dublin 15","Dublin","€800,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","Frehanes, Rosscarbery","","Cork","€127,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","GOLD LINKS VIEW, MURREIGH, WATERVILLE","","Kerry","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","GORTLANDROE, NENAGH, CO TIPPERARY","","Tipperary","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","GURTEENGROVE, DUBLIN RD, CARLOW","","Carlow","€370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","KERRIGS, KLCROMANE, BANTRY","","Cork","€126,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","KILMINCHY, DUBLIN ROAD, PORTLAOISE","","Laois","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","Kilmurry, Kenmare","","Kerry","€225,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
